Drive ID,Time,StartLoc,Holiday,Day,NbPassengers,EndLoc
1,11.25,home,TRUE,Saturday,2,other
2,16.36,other,TRUE,Saturday,2,other
3,10.25,home,TRUE,Monday,1,work
4,8.25,home,TRUE,Tuesday,1,work
5,13.5,work,TRUE,Tuesday,1,home
6,14.5,home,TRUE,Tuesday,1,other
7,15.36,other,TRUE,Tuesday,1,home
8,7.58,home,TRUE,Wednesday,1,work
9,17.59,work,TRUE,Wednesday,1,gym
10,14.25,home,TRUE,Friday,2,other
11,12.25,work,FALSE,Friday,2,home
12,10.25,home,TRUE,Sunday,2,other
13,14.25,other,TRUE,Sunday,2,other
14,8.25,home,FALSE,Monday,1,work
15,17.25,work,FALSE,Monday,1,gym
16,7.58,home,FALSE,Tuesday,1,work
17,17.59,work,FALSE,Tuesday,1,gym
18,7.23,home,FALSE,Wednesday,1,work
19,16.36,work,FALSE,Wednesday,1,gym
20,7.52,home,FALSE,Thursday,1,work
21,16.02,work,FALSE,Thursday,1,home
22,8.34,home,FALSE,Friday,1,work
23,14.52,work,FALSE,Friday,1,home
24,14.52,home,TRUE,Saturday,1,gym
25,13.36,other,TRUE,Saturday,1,home
26,18.25,home,TRUE,Saturday,2,gym
27,19.1,other,TRUE,Sunday,2,home
28,10.15,home,FALSE,Monday,1,work
29,16.36,work,FALSE,Monday,1,gym
30,9.1,home,FALSE,Tuesday,1,work
31,16.41,work,FALSE,Tuesday,1,gym
32,10.2,home,FALSE,Wednesday,1,work
33,16.25,work,FALSE,Wednesday,1,gym
34,16.52,home,FALSE,Thursday,4,gym
35,15.32,work,FALSE,Thursday,1,home
36,10.25,home,FALSE,Friday,1,work
37,19.02,work,FALSE,Friday,1,home
38,15.48,home,TRUE,Saturday,2,gym
39,16.15,gym,TRUE,Saturday,1,home
40,11.1,home,TRUE,Sunday,1,work
41,12.25,gym,TRUE,Sunday,1,home
42,22.52,home,TRUE,Sunday,1,other
43,23.56,other,TRUE,Sunday,2,home
44,15.25,home,FALSE,Monday,1,work
45,18.52,work,FALSE,Monday,1,gym
46,8.25,home,FALSE,Tuesday,1,work
47,16.45,work,FALSE,Tuesday,1,gym
48,16.25,home,FALSE,Wednesday,1,gym
49,7.58,home,FALSE,Thursday,1,work
50,15.52,work,FALSE,Thursday,1,home
